STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,isced11,International Standard Classification of Education (ISCED 2011),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2007,,54.1,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2008,,52.4,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2009,,52.2,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2010,,52.3,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2011,,40.2,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2012,,36.9,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2013,,34.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2014,,30.6,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2015,,34.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2016,,31.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2017,,32.3,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2018,,30.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2019,,29.3,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2020,,25.7,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2021,,23.9,,be,"break in time series, estimated",,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2022,,23.8,,e,estimated,,
dataflow,ESTAT:ISOC_SKS_ITSPE(1.0),Employed ICT specialists by educational attainment level,A,Annual,PC,Percentage,ED0-4,"Less than primary, primary, secondary and post-secondary non-tertiary education (levels 0-4)",BG,Bulgaria,2023,,23.0,,e,estimated,,
