unit_of_measure,geo,geopolitical_entity_reporting,time_period,obs_value,Geopolitical entity (reporting)
PERCENTAGE,AT,TIROL,2021-Q2,8.4,Austria
PERCENTAGE,AT,TIROL,2021-Q3,8.2,Austria
PERCENTAGE,AT,TIROL,2021-Q4,11.0,Austria
PERCENTAGE,AT,TIROL,2022-Q1,10.7,Austria
PERCENTAGE,AT,TIROL,2022-Q2,11.3,Austria
PERCENTAGE,AT,TIROL,2022-Q3,12.4,Austria
PERCENTAGE,AT,TIROL,2022-Q4,8.3,Austria
PERCENTAGE,AT,TIROL,2023-Q1,8.8,Austria
PERCENTAGE,AT,TIROL,2023-Q2,9.3,Austria
PERCENTAGE,AT,TIROL,2023-Q3,9.4,Austria
PERCENTAGE,AT,TIROL,2023-Q4,9.6,Austria
PERCENTAGE,AT,TIROL,2024-Q1,9.9,Austria
PERCENTAGE,AT,TIROL,2024-Q2,10.0,Austria
PERCENTAGE,AT,TIROL,2024-Q3,8.7,Austria
PERCENTAGE,AT,TIROL,2024-Q4,8.1,Austria
PERCENTAGE,AT,TIROL,2025-Q1,7.7,Austria
PERCENTAGE,AT,TIROL,2025-Q2,7.8,Austria
PERCENTAGE,AT,VORARLBERG,2019-Q4,8.2,Austria
PERCENTAGE,AT,VORARLBERG,2020-Q1,8.1,Austria
PERCENTAGE,AT,VORARLBERG,2020-Q2,8.8,Austria
PERCENTAGE,AT,VORARLBERG,2020-Q3,9.0,Austria
PERCENTAGE,AT,VORARLBERG,2020-Q4,10.0,Austria
PERCENTAGE,AT,VORARLBERG,2021-Q1,10.9,Austria
PERCENTAGE,AT,VORARLBERG,2021-Q2,10.6,Austria
PERCENTAGE,AT,VORARLBERG,2021-Q3,10.6,Austria
PERCENTAGE,AT,VORARLBERG,2021-Q4,10.2,Austria
PERCENTAGE,AT,VORARLBERG,2022-Q1,10.4,Austria
PERCENTAGE,AT,VORARLBERG,2022-Q2,10.9,Austria
PERCENTAGE,AT,VORARLBERG,2022-Q3,11.0,Austria
PERCENTAGE,AT,VORARLBERG,2022-Q4,11.2,Austria
PERCENTAGE,AT,VORARLBERG,2023-Q1,11.1,Austria
PERCENTAGE,AT,VORARLBERG,2023-Q2,11.0,Austria
PERCENTAGE,AT,VORARLBERG,2023-Q3,11.0,Austria
PERCENTAGE,AT,VORARLBERG,2023-Q4,11.4,Austria
PERCENTAGE,AT,VORARLBERG,2024-Q1,11.5,Austria
PERCENTAGE,AT,VORARLBERG,2024-Q2,11.1,Austria
PERCENTAGE,AT,VORARLBERG,2024-Q3,10.4,Austria
PERCENTAGE,AT,VORARLBERG,2024-Q4,9.4,Austria
PERCENTAGE,AT,VORARLBERG,2025-Q1,9.0,Austria
PERCENTAGE,AT,VORARLBERG,2025-Q2,8.8,Austria
PERCENTAGE,BE,BELGIUM,2019-Q4,8.2,Belgium
PERCENTAGE,BE,BELGIUM,2020-Q1,8.3,Belgium
PERCENTAGE,BE,BELGIUM,2020-Q2,8.2,Belgium
PERCENTAGE,BE,BELGIUM,2020-Q3,8.1,Belgium
PERCENTAGE,BE,BELGIUM,2020-Q4,8.3,Belgium
PERCENTAGE,BE,BELGIUM,2021-Q1,8.5,Belgium
PERCENTAGE,BE,BELGIUM,2021-Q2,9.1,Belgium
PERCENTAGE,BE,BELGIUM,2021-Q3,9.0,Belgium
PERCENTAGE,BE,BELGIUM,2021-Q4,9.0,Belgium
PERCENTAGE,BE,BELGIUM,2022-Q1,8.5,Belgium
PERCENTAGE,BE,BELGIUM,2022-Q2,7.9,Belgium
PERCENTAGE,BE,BELGIUM,2022-Q3,7.8,Belgium
PERCENTAGE,BE,BELGIUM,2022-Q4,7.8,Belgium
PERCENTAGE,BE,BELGIUM,2023-Q1,7.9,Belgium
PERCENTAGE,BE,BELGIUM,2023-Q2,8.0,Belgium
PERCENTAGE,BE,BELGIUM,2023-Q3,7.8,Belgium
PERCENTAGE,BE,BELGIUM,2023-Q4,7.1,Belgium
PERCENTAGE,BE,BELGIUM,2024-Q1,6.5,Belgium
PERCENTAGE,BE,BELGIUM,2024-Q2,6.0,Belgium
PERCENTAGE,BE,BELGIUM,2024-Q3,5.3,Belgium
PERCENTAGE,BE,BELGIUM,2024-Q4,5.3,Belgium
PERCENTAGE,BE,BELGIUM,2025-Q1,5.3,Belgium
PERCENTAGE,BE,BELGIUM,2025-Q2,5.4,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2019-Q4,18.4,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q1,18.2,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q2,18.2,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q3,17.9,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2020-Q4,18.4,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q1,18.6,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q2,17.7,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q3,17.1,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2021-Q4,16.3,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q1,15.4,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q2,14.9,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q3,14.8,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2022-Q4,15.0,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q1,15.3,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q2,15.5,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q3,14.8,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2023-Q4,12.0,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q1,10.2,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q2,9.0,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q3,7.6,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2024-Q4,8.1,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2025-Q1,8.9,Belgium
PERCENTAGE,BE,RÉGION DE BRUXELLES-CAPITALE/BRUSSELS HOOFDSTEDELIJK GEWEST,2025-Q2,9.4,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2019-Q4,8.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2020-Q1,8.4,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2020-Q2,8.3,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2020-Q3,8.1,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2020-Q4,8.2,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2021-Q1,8.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2021-Q2,8.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2021-Q3,8.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2021-Q4,8.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2022-Q1,8.0,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2022-Q2,7.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2022-Q3,7.3,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2022-Q4,7.1,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2023-Q1,7.2,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2023-Q2,7.2,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2023-Q3,7.1,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2023-Q4,6.6,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2024-Q1,6.0,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2024-Q2,5.3,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2024-Q3,4.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2024-Q4,4.5,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2025-Q1,4.4,Belgium
PERCENTAGE,BE,PROV. ANTWERPEN,2025-Q2,4.5,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2019-Q4,4.9,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2020-Q1,5.1,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2020-Q2,5.2,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2020-Q3,5.1,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2020-Q4,5.2,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2021-Q1,5.3,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2021-Q2,6.0,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2021-Q3,6.2,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2021-Q4,6.2,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2022-Q1,6.0,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2022-Q2,5.4,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2022-Q3,5.4,Belgium
PERCENTAGE,BE,PROV. LIMBURG (BE),2022-Q4,5.4,Belgium
