job_title,employment_type,experience_level,salary,salary_currency,company_location,salary_in_usd,employee_residence,company_size,work_year,remote_type,role_category,salary_band,international_job
Data Scientist,FT,SE,237000,USD,United States,237000,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,201450,USD,United States,201450,United States,M,2023,Unknown,Data Scientist,Very High,False
ML Engineer,FT,SE,229000,USD,United States,229000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
ML Engineer,FT,SE,206000,USD,United States,206000,United States,M,2023,Unknown,ML / AI Engineer,Very High,False
Data Scientist,FT,SE,231000,USD,United States,231000,United States,M,2023,Unknown,Data Scientist,Very High,False
ML Engineer,FT,SE,183750,USD,United States,183750,United States,M,2023,Unknown,ML / AI Engineer,High,False
ML Engineer,FT,SE,165400,USD,United States,165400,United States,M,2023,Unknown,ML / AI Engineer,High,False
Analytics Engineer,FT,SE,152900,USD,United Kingdom,152900,United Kingdom,M,2023,Unknown,Data Analyst / BI,High,False
Analytics Engineer,FT,SE,117700,USD,United Kingdom,117700,United Kingdom,M,2023,Unknown,Data Analyst / BI,Medium,False
Data Scientist,FT,SE,285800,USD,United States,285800,United States,M,2023,Unknown,Data Scientist,Very High,False
Data Scientist,FT,SE,154600,USD,United States,154600,United States,M,2023,Unknown,Data Scientist,High,False
Data Operations Engineer,FT,SE,289120,USD,United States,289120,United States,M,2023,Unknown,Data Engineer,Very High,False
Data Operations Engineer,FT,SE,192400,USD,United States,192400,United States,M,2023,Unknown,Data Engineer,Very High,False
Staff Data Analyst,FT,MI,179998,USD,SA,179998,SA,S,2023,Unknown,Data Analyst / BI,High,False
Applied Machine Learning Scientist,FT,EN,4000000,INR,Germany,48644,India,L,2023,Unknown,ML / AI Engineer,Low,True
